feature,importance_mean,importance_std
pm25_ugm3,6.190548476105901,0.1103374045828641
aqm_stress_index,1.5403456924563852,0.06725259054618371
precipitation_mm,0.29602074005888357,0.0235964827756411
precip_x_flood,0.22340652085513052,0.02299874104770805
temp_anomaly_celsius,0.14535034233592423,0.01720077473730185
air_quality_index,0.07765663709521427,0.014217647595033927
gdp_per_capita_usd,0.0753138458267701,0.01522630578916375
temperature_celsius_lag2,0.06936177208427381,0.019473133465251882
extreme_weather_events_lag4,0.06736017639509359,0.01089108972184598
week,0.058036181067352643,0.0056155541935767
pm25_ugm3_roll4_mean,0.04674526974673281,0.009973532185573558
pm25_ugm3_lag2,0.029048917469558688,0.00829649559393038
temperature_celsius_lag4,0.02749539033407249,0.009517992452772435
season_sin,0.025125144131398082,0.010951431097834318
respiratory_disease_rate_roll4_mean,0.023648815131778633,0.010137415107751742
month,0.021301599343278,0.009436229787375478
country_name,0.01793288535769779,0.01189511715119091
temp_anomaly_celsius_lag4,0.01400435404420559,0.005316187278006152
precipitation_mm_lag2,0.010994688133769515,0.004221003836312082
pm25_ugm3_lag4,0.010657463012322666,0.005467461599707866
respiratory_disease_rate_lag2,0.009618720897901233,0.0036607832604489566
respiratory_disease_rate_lag1,0.009013041494026552,0.0033869630403737007
extreme_weather_events_lag2,0.008933821791794649,0.0035019391119025657
temp_anomaly_celsius_lag2,0.008332042662665629,0.0021073031652863194
temperature_celsius,0.007965888118461528,0.004343629375363728
season_cos,0.007057613310447586,0.004228519859697047
flood_indicator,0.006419040963625555,0.006952835841547333
extreme_weather_events,0.006271515691270579,0.009692637583090582
pm25_x_temperature,0.005791538514458594,0.0075656439418379726
pm25_ugm3_lag1,0.005534890860939079,0.0025680519565287542
heat_wave_days,0.005331068152172236,0.010052398792564097
air_quality_index_lag2,0.005034529823654132,0.007807719264346999
temp_anomaly_celsius_lag1,0.005019763457691795,0.003621235278985958
precipitation_mm_lag1,0.0038570540098518792,0.0013129637027093565
heat_wave_days_lag2,0.00218788584180718,0.006126560911773259
precipitation_mm_lag4,0.001480187540445499,0.0009111557393633441
drought_indicator,0.00045629882892352926,0.0009186620133492411
food_security_index,0.00028967070580350197,0.00032684848314971004
heat_wave_days_lag1,0.00024078279223331832,8.379554472507568e-05
mental_health_index,0.00023040706961037217,0.00026431414444597014
year,0.0001335707410454745,0.00023482728694674719
air_quality_index_roll4_mean,5.3489487557278895e-05,3.474823502756052e-05
respiratory_disease_rate_lag4,-0.00024287894427654777,0.00026813317239071546
air_quality_index_lag4,-0.0002620005523255031,0.0005710084301625467
temperature_celsius_lag1,-0.0004216494192938569,0.0011102443100962302
air_quality_index_lag1,-0.0007365185877441505,0.0021944931555534144
extreme_weather_events_lag1,-0.0011201499180943486,0.0004324295450378048
healthcare_access_index,-0.0012171300282613374,0.0019342013678998343
income_level,-0.0018181957611369981,0.002394920537129413
aqi_x_heatwave,-0.0019132684489147067,0.002075533919283875
temp_anomaly_celsius_roll4_mean,-0.004342378903743871,0.006909243804062789
region,-0.008330992532122928,0.004970783081271948
heat_wave_days_lag4,-0.00948654807318281,0.011248596105605973
