index,respiratory_disease_rate,pm25_ugm3,air_quality_index,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,extreme_weather_events,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index
respiratory_disease_rate,1.0,0.7590053479474179,0.7359969693688452,0.2315446308012676,-0.007991892401706944,-0.1421066530099472,0.002698516993700954,0.006422073140543902,-0.49693847518269907,-0.3774326214587947,-0.004626206413498987,-0.3734386109299051
pm25_ugm3,0.7590053479474179,1.0,0.9671909239682392,0.28345286509400397,0.005789792069017568,-0.19730099052096828,-0.06593938988233125,-0.06170904944588142,-0.64581500973882,-0.48663045977287134,-0.0026772214845290606,-0.48018411492880936
air_quality_index,0.7359969693688452,0.9671909239682392,1.0,0.2746737957191121,0.006114603071243015,-0.1884205525809112,-0.06251767082222354,-0.05954177569753563,-0.6236513863580786,-0.47227068573122216,0.0012896591966789165,-0.4622299915418833
temperature_celsius,0.2315446308012676,0.28345286509400397,0.2746737957191121,1.0,0.00797087929921157,0.3412904801766812,0.2042169436539667,0.1902676679930098,-0.6307209487714813,-0.6238693891095624,-0.019281398474617014,-0.42836507083287156
temp_anomaly_celsius,-0.007991892401706944,0.005789792069017568,0.006114603071243015,0.00797087929921157,1.0,-0.0006211247318531074,0.010268433313453161,0.009540667599120962,-0.008674571628225214,-0.0018260628202686608,-0.008255223442957746,-0.007260279944914688
precipitation_mm,-0.1421066530099472,-0.19730099052096828,-0.1884205525809112,0.3412904801766812,-0.0006211247318531074,1.0,0.25242211431949324,0.22700393886770892,-0.0075486819389399135,-0.0020458893333951942,-0.01571468841785449,0.023877043800734854
heat_wave_days,0.002698516993700954,-0.06593938988233125,-0.06251767082222354,0.2042169436539667,0.010268433313453161,0.25242211431949324,1.0,0.9613939720825604,0.011338318618982744,0.007358889981828971,-0.05347754588134674,0.008540017099900588
extreme_weather_events,0.006422073140543902,-0.06170904944588142,-0.05954177569753563,0.1902676679930098,0.009540667599120962,0.22700393886770892,0.9613939720825604,1.0,0.01003335003922713,0.006024989420823316,-0.07859139071696146,-0.0614756588660692
healthcare_access_index,-0.49693847518269907,-0.64581500973882,-0.6236513863580786,-0.6307209487714813,-0.008674571628225214,-0.0075486819389399135,0.011338318618982744,0.01003335003922713,1.0,0.8341636068950505,0.010009725067651956,0.6981317528253533
gdp_per_capita_usd,-0.3774326214587947,-0.48663045977287134,-0.47227068573122216,-0.6238693891095624,-0.0018260628202686608,-0.0020458893333951942,0.007358889981828971,0.006024989420823316,0.8341636068950505,1.0,0.0005038982464428608,0.5808474247566191
mental_health_index,-0.004626206413498987,-0.0026772214845290606,0.0012896591966789165,-0.019281398474617014,-0.008255223442957746,-0.01571468841785449,-0.05347754588134674,-0.07859139071696146,0.010009725067651956,0.0005038982464428608,1.0,0.03690039479322416
food_security_index,-0.3734386109299051,-0.48018411492880936,-0.4622299915418833,-0.42836507083287156,-0.007260279944914688,0.023877043800734854,0.008540017099900588,-0.0614756588660692,0.6981317528253533,0.5808474247566191,0.03690039479322416,1.0
